node,distance,out_degree,in_degree
app.main._ensure_branch_watch,0,2,1
app.main._valid_https_url,0,0,1
app.main.create_subscription,0,3,0
app.main.get_subscriptions,0,1,0
app.store._dec,0,0,3
app.store._empty_store,0,0,1
app.store._enc,0,0,2
app.store._ensure_dir,0,0,2
app.store.get_connection,0,2,1
app.store.list_subscriptions,0,1,1
app.store.load_all,0,3,4
app.store.save_all,0,1,3
app.store.upsert_connection,0,4,1
app.store.upsert_subscription,0,4,1
